,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Rank,Release Date,Movie Title,Production Budget ($),Worldwide Gross ($),Domestic Gross ($)
0,0,0,357,231,3009,1/1/1978,Caravans,14000000,1000000,1000000
1,1,1,358,220,3765,5/8/1977,March or Die,7000000,1000000,1000000
2,2,2,359,663,4983,1/10/1993,Ruby in Paradise,800000,1001437,1001437
3,3,3,360,3182,67,7/18/2008,The Dark Knight,185000000,1002572859,533345358
4,4,4,361,3383,4771,5/22/2009,The Girlfriend Experience,1300000,1005840,695840
5,5,5,362,1970,3439,2/5/2003,Owning Mahowny,10000000,1011054,1011054
6,6,6,363,4111,4999,3/2/2012,The Innkeepers,750000,1011535,78396
7,7,7,364,4282,13,12/14/2012,The Hobbit: An Unexpected Journey,250000000,1017003568,303003568
8,8,8,365,5164,136,4/3/2016,Zootopia,150000000,1019922983,341268248
9,9,9,366,3561,4402,1/10/2010,Chain Letter,3000000,1022453,205842
10,10,10,367,5200,39,6/17/2016,Finding Dory,200000000,1022617376,486295561
11,11,11,368,1995,4130,3/14/2003,Spun,4500000,1022649,410241
12,12,12,369,3641,44,5/3/2010,Alice in Wonderland,200000000,1025491110,334191110
13,13,13,370,1249,272,5/19/1999,Star Wars Ep. I: The Phantom Menace,115000000,1027044677,474544677
14,14,14,371,1278,5062,7/30/1999,Twin Falls Idaho,500000,1027228,985341
15,15,15,372,1490,5226,9/15/2000,Urbania,225000,1032075,1032075
16,16,16,373,2263,3817,7/23/2004,A Home at the End of the World,6500000,1033810,1029017
17,17,17,374,4905,4921,5/15/2015,Childless,1000000,1036,1036
18,18,18,375,695,758,11/6/1993,Jurassic Park,63000000,1038812584,395708305
19,19,19,376,3897,17,5/20/2011,Pirates of the Caribbean: On Stranger Tides,250000000,1045663875,241063875
20,20,20,377,4089,3444,1/20/2012,Coriolanus,10000000,1049641,749641
21,21,21,378,646,4051,9/21/1992,Light Sleeper,5000000,1050861,1050861
22,22,22,379,5293,38,12/16/2016,Rogue One: A Star Wars Story,200000000,1050988488,532177324
23,23,23,380,2999,3440,10/19/2007,The Ten Commandments,10000000,1051907,952820
24,24,24,381,1988,3932,3/10/2003,Wonderland,5500000,1060512,1060512
25,25,25,382,4220,2495,8/29/2012,The Oogieloves in the BIG Balloon Adventure,20000000,1065907,1065907
26,26,26,383,2709,23,7/7/2006,Pirates of the Caribbean: Dead Man’s Chest,225000000,1066215812,423315812
27,27,27,384,2962,3302,8/24/2007,September Dawn,10100000,1066555,1066555
28,28,28,385,2487,3544,8/26/2005,Undiscovered,9000000,1069318,1069318
29,29,29,386,4579,3438,3/21/2014,50 to 1,10000000,1069454,1069454
30,30,30,387,3670,40,6/18/2010,Toy Story 3,200000000,1069818229,415004880
31,31,31,388,4447,4056,8/16/2013,Ain't Them Bodies Saints,5000000,1075009,391611
32,32,32,389,1692,4589,9/28/2001,Dinner Rush,2000000,1075504,638227
33,33,33,390,5271,1433,11/11/2016,USS Indianapolis: Men of Courage,40000000,1079040,0
34,34,34,391,4875,3676,4/14/2015,Loin des hommes,7700000,1080428,5336
35,35,35,392,953,1997,2/21/1997,Blood and Wine,26000000,1083350,1083350
36,36,36,393,4196,5,7/20/2012,The Dark Knight Rises,275000000,1084439099,448139099
37,37,37,394,1137,4878,9/10/1998,Slam,1000000,1087521,1009819
38,38,38,395,4132,3118,4/5/2012,A Little Bit of Heaven,12500000,1100287,10011
39,39,39,396,4621,31,6/27/2014,Transformers: Age of Extinction,210000000,1104039076,245439076
40,40,40,397,4197,5225,7/20/2012,Burn,225000,1109276,1109276
41,41,41,398,4205,45,8/11/2012,Skyfall,200000000,1110526981,304360277
42,42,42,399,1966,5061,1/31/2003,The R.M.,500000,1111615,1111615
43,43,43,400,3919,56,6/29/2011,Transformers: Dark of the Moon,195000000,1123790543,352390543
44,44,44,401,2398,4727,3/25/2005,The Ballad of Jack and Rose,1500000,1126258,712294
45,45,45,402,3949,5058,8/7/2011,Sholem Aleichem: Laughing in the Darkness,500000,1131261,1131261
46,46,46,403,2935,4586,7/9/2007,In the Shadow of the Moon,2000000,1134358,1134358
47,47,47,404,1641,5013,7/9/2001,L.I.E.,700000,1140965,1140965
48,48,48,405,2143,383,12/17/2003,The Lord of the Rings: The Return of the King,94000000,1141403341,377845905
49,49,49,406,1116,967,7/22/1998,Lolita,55000000,1147784,1147784
50,50,50,407,3877,2937,4/11/2011,The Son of No One,15000000,1148578,30680
51,51,51,408,5196,11,6/5/2016,Captain America: Civil War,250000000,1151684349,408084349
52,52,52,409,676,3085,5/14/1993,Excessive Force,13000000,1152117,1152117
53,53,53,410,1239,4585,4/30/1999,Get Real,2000000,1152411,1152411
54,54,54,411,4671,4881,9/5/2014,Palo Alto,1000000,1156309,767732
55,55,55,412,1461,5191,7/14/2000,Chuck&Buck,250000,1157672,1055671
56,56,56,413,4632,4213,7/3/2014,The Face of Love,4000000,1158877,385069
57,57,57,414,3573,5015,1/26/2010,B-Girl,700000,1160,0
58,58,58,415,1525,5235,11/2/2000,Trois,200000,1161843,1161843
59,59,59,416,2240,5129,6/10/2004,Tarnation,400000,1162014,592014
60,60,60,417,2981,3449,9/14/2007,King of California,10000000,1165102,268461
61,61,61,418,4931,5236,6/19/2015,The Overnight,200000,1165996,1109808
62,62,62,419,3465,2506,9/18/2009,The Burning Plain,20000000,1167092,200730
63,63,63,420,5021,615,10/7/2015,Minions,74000000,1167245366,336045770
64,64,64,421,1486,5060,9/6/2000,Groove,500000,1167524,1115313
65,65,65,422,2796,4256,11/8/2006,Casa de Areia,3750000,1178175,539285
66,66,66,423,1472,4882,8/9/2000,Fiza,1000000,1179462,623791
67,67,67,424,4031,3207,11/3/2011,Kill the Irishman,12000000,1188194,1188194
68,68,68,425,3522,2146,11/25/2009,Me and Orson Welles,25000000,1190003,1190003
69,69,69,426,4311,2642,1/3/2013,Phantom,18000000,1199510,1034589
70,70,70,427,4609,4149,6/6/2014,Anna,4357373,1200000,0
71,71,71,428,4143,3209,4/20/2012,Darling Companion,12000000,1200346,793352
72,72,72,429,4345,41,3/5/2013,Iron Man 3,200000000,1215392272,408992272
73,73,73,430,2921,5249,6/15/2007,The Trials of Darryl Hunt,200000,1217,1217
74,74,74,431,3924,4133,7/10/2011,Blackthorn,4500000,1217307,200558
75,75,75,432,593,5363,1/8/1991,Slacker,23000,1227508,1227508
76,76,76,433,3913,3479,6/21/2011,You Got Served: Beat The World,10000000,1230542,0
77,77,77,434,5339,18,4/14/2017,The Fate of the Furious,250000000,1237444462,225764765
78,78,78,435,2891,2782,4/13/2007,Slow Burn,15500000,1237615,1237615
79,79,79,436,3939,4885,7/29/2011,The Future,1000000,1239174,568662
80,80,80,437,4961,3556,8/5/2015,Skin Trade,9000000,1242,1242
81,81,81,438,364,3763,8/4/1983,Losin' It,7000000,1246141,1246141
82,82,82,439,3324,1116,1/23/2009,Outlander,50000000,1250617,166003
83,83,83,440,1748,5057,1/2/2002,The Singles Ward,500000,1250798,1250798
84,84,84,441,5330,115,3/17/2017,Beauty and the Beast,160000000,1260122363,504014165
85,85,85,442,2421,4758,4/29/2005,Holy Girl,1400000,1261792,304124
86,86,86,443,4427,3782,7/23/2013,Twixt,7000000,1268346,0
87,87,87,444,2439,4486,5/27/2005,Saving Face,2500000,1269705,1187266
88,88,88,445,4497,134,11/22/2013,Frozen,150000000,1274234980,400738009
89,89,89,446,3708,4682,8/10/2010,I Spit on Your Grave,1750000,1278471,93051
90,90,90,447,1643,3881,7/12/2001,The Business of Strangers,6000000,1290920,1030920
91,91,91,448,2798,5114,11/8/2006,Conversations with Other Women,450000,1297745,379418
92,92,92,449,3150,3446,5/23/2008,"War, Inc.",10000000,1299855,580862
93,93,93,450,440,2641,4/25/1986,8 Million Ways to Die,18000000,1305114,1305114
94,94,94,451,2821,1689,12/15/2006,The Good German,32000000,1308696,1308696
95,95,95,452,2238,4993,6/8/2004,Saints and Soldiers,780000,1310470,1310470
96,96,96,453,865,1625,4/19/1996,Le hussard sur le toit,35000000,1320043,1320043
97,97,97,454,2456,4672,7/1/2005,Travellers and Magicians,1800000,1322161,506793
98,98,98,455,4171,4393,6/4/2012,Damsels in Distress,3000000,1324299,1007535
99,99,99,456,3547,4512,12/31/2009,Nikté,2400000,1333891,0
100,100,100,457,2663,5373,4/28/2006,Grip: A Criminal's Story,12000,1336,1336
101,101,101,458,2462,5388,7/13/2005,Return to the Land of Wonders,5000,1338,1338
102,102,102,459,3925,231,7/15/2011,Harry Potter and the Deathly Hallows: Part II,125000000,1341511219,381011219
103,103,103,460,2277,5063,8/20/2004,Mean Creek,500000,1348750,603951
104,104,104,461,3624,3591,4/16/2010,The City of Your Final Destination,8300000,1353296,493296
105,105,105,462,897,2554,8/16/1996,Kansas City,19000000,1353824,1353824
106,106,106,463,3468,4874,9/18/2009,The Secrets of Jonathan Sperry,1000000,1355079,1355079
107,107,107,464,469,4827,4/9/1987,The Offspring,1100000,1355728,1355728
108,108,108,465,1684,5305,9/11/2001,Keeping it Real: The Adventures of Greg Walloch,100000,1358,1358
109,109,109,466,3431,3892,8/5/2009,Julia,6000000,1365108,65108
110,110,110,467,1591,5192,3/16/2001,American Desi,250000,1366235,902835
111,111,111,468,3679,5155,6/25/2010,Dogtooth,323000,1373407,110248
112,112,112,469,2871,4059,3/8/2007,"Gandhi, My Father",5000000,1375194,240425
113,113,113,470,1562,3089,12/29/2000,The Claim,13000000,1375635,622023
114,114,114,471,1648,4534,7/13/2001,Bully,2100000,1381824,881824
115,115,115,472,4222,4970,8/31/2012,"For a Good Time, Call",850000,1386088,1251749
116,116,116,473,5097,3781,12/31/2015,ГЕРОЙ,7000000,1391410,0
117,117,117,474,3409,4292,6/26/2009,Surveillance,3500000,1396395,27349
118,118,118,475,4789,10,1/5/2015,Avengers: Age of Ultron,250000000,1404705868,459005868
119,119,119,476,1757,2925,1/25/2002,Metropolis,15000000,1405032,673414
120,120,120,477,841,3113,1/11/1996,The Funeral,12500000,1412799,1212799
121,121,121,478,2531,2148,10/14/2005,Where the Truth Lies,25000000,1415656,872142
122,122,122,479,3237,5161,10/12/2008,Wendy and Lucy,300000,1416046,865695
123,123,123,480,3392,3879,6/2/2009,Polytechnique,6000000,1418304,1418304
124,124,124,481,2900,4510,5/1/2007,Thr3e,2400000,1420418,1008849
125,125,125,482,1377,4880,1/12/2000,Panic,1000000,1425707,779137
126,126,126,483,3475,3762,9/25/2009,I Hope They Serve Beer in Hell,7000000,1429453,1429299
127,127,127,484,2949,4584,7/27/2007,No End In Sight,2000000,1433319,1433319
128,128,128,485,2120,4652,11/7/2003,Northfork,1900000,1445140,1420578
129,129,129,486,3744,2773,9/24/2010,Enter the Void,16000000,1467278,337997
130,130,130,487,5340,1506,4/14/2017,Queen of the Desert,36000000,1480089,0
131,131,131,488,2089,4876,9/19/2003,Bubba Ho-Tep,1000000,1492895,1239183
132,132,132,489,439,4125,4/23/1986,Salvador,4500000,1500000,1500000
133,133,133,490,262,1624,1/1/1980,Lion of the Desert,35000000,1500000,1500000
134,134,134,491,1901,4977,10/25/2002,Time Changer,825000,1500711,1500711
135,135,135,492,3307,4075,12/31/2008,The Cottage,5000000,1504960,0
136,136,136,493,2991,3215,9/28/2007,Trade,12000000,1513388,214202
137,137,137,494,4844,59,3/4/2015,Furious 7,190000000,1516748684,351032910
138,138,138,495,4131,22,4/5/2012,The Avengers,225000000,1519479547,623279547
139,139,139,496,635,4049,4/24/1992,A Midnight Clear,5000000,1526697,1526697
140,140,140,497,3040,3473,12/21/2007,Blonde Ambition,10000000,1537479,6422
141,141,141,498,4374,4726,4/19/2013,The Lords of Salem,1500000,1541131,1165881
142,142,142,499,2141,1963,12/12/2003,The Statement,27000000,1545064,765637
143,143,143,500,2505,4907,9/16/2005,Chocolate: Deep Dark Secrets,1000000,1549000,49000
144,144,144,501,3494,3015,10/27/2009,Stan Helsing: A Parody,14000000,1553556,0
145,145,145,502,1952,3433,12/27/2002,Nicholas Nickleby,10000000,1562800,1562800
146,146,146,503,3990,5258,9/23/2011,Weekend,190000,1577585,484592
147,147,147,504,3065,2935,1/8/2008,Midnight Meat Train,15000000,1590246,73548
148,148,148,505,3747,3227,10/2/2010,Triangle,12000000,1595168,0
149,149,149,506,115,5040,11/8/1964,A Hard Day's Night,560000,1597233,1537860
150,150,150,507,1805,5127,4/26/2002,Dogtown and Z-Boys,400000,1600566,1293295
151,151,151,508,2184,3298,2/20/2004,The Blue Butterfly,10400000,1610194,1610194
152,152,152,509,1042,3112,12/31/1997,Oscar and Lucinda,12500000,1612957,1612957
153,153,153,510,886,4875,7/17/1996,Walking and Talking,1000000,1615787,1287480
154,154,154,511,1696,4732,10/8/2001,Session 9,1500000,1619602,378176
155,155,155,512,3376,3226,5/6/2009,Home,12000000,1620056,0
156,156,156,513,1206,5259,1/22/1999,Bacheha-Ye aseman,180000,1628579,933933
157,157,157,514,4383,4761,5/4/2013,Eddie: The Sleepwalking Cannibal,1400000,1632,1632
158,158,158,515,3428,3553,7/31/2009,Flammen og Citronen,9000000,1635241,148089
159,159,159,516,1407,3432,4/2/2000,Gun Shy,10000000,1638202,1638202
160,160,160,517,1983,3431,2/28/2003,Spider,10000000,1641788,1641788
161,161,161,518,3704,3478,8/10/2010,It's a Wonderful Afterlife,10000000,1642939,0
162,162,162,519,2077,2492,8/22/2003,Marci X,20000000,1646664,1646664
163,163,163,520,1136,4769,9/10/1998,Festen,1300000,1647780,1647780
164,164,164,521,2137,4581,12/9/2003,"The Book of Mormon Movie, Volume 1: The Journey",2000000,1660865,1660865
165,165,165,522,2851,3760,2/2/2007,Factory Girl,7000000,1661464,1661464
166,166,166,523,412,4592,6/11/1985,Subway,2000000,1663296,390659
167,167,167,524,5077,28,12/6/2015,Jurassic World,215000000,1671640593,652198010
168,168,168,525,4190,3891,7/12/2012,Deadfall,6000000,1673635,66351
169,169,169,526,994,2769,8/15/1997,Steel,16000000,1686429,1686429
170,170,170,527,1447,4485,6/16/2000,Jesus' Son,2500000,1687548,1282084
171,171,171,528,1914,2781,11/15/2002,Ararat,15500000,1693000,1693000
172,172,172,529,2426,3950,5/8/2005,Saint Ralph,5200000,1695126,795126
173,173,173,530,2526,2194,10/6/2005,The Bridge of San Luis Rey,24000000,1696765,49981
174,174,174,531,502,4102,4/22/1988,Lady in White,4700000,1705139,1705139
175,175,175,532,4541,2772,1/10/2014,"Men, Women and Children",16000000,1705908,705908
176,176,176,533,5042,5174,10/23/2015,The Looking Glass,300000,1711,1711
177,177,177,534,4823,3767,2/10/2015,Freeheld,7000000,1732228,546201
178,178,178,535,3451,1878,9/1/2009,"Che, Part 1: The Argentine",29000000,1733532,1733532
179,179,179,536,2708,4779,7/4/2006,Simon,1300000,1738663,4055
180,180,180,537,3511,3816,11/13/2009,The Messenger,6500000,1744952,1109660
181,181,181,538,5225,1859,8/3/2016,Savva. Serdtse voyna,30000000,1769316,0
182,182,182,539,2480,5146,8/7/2005,Murderball,350000,1772979,1531154
183,183,183,540,4414,5084,6/28/2013,Detention of the Dead,500000,1778,1778
184,184,184,541,1832,3203,6/14/2002,The Dangerous Lives of Altar Boys,12000000,1779284,1779284
185,185,185,542,1343,5156,11/24/1999,Tumbleweeds,312000,1788168,1350248
186,186,186,543,2237,3694,6/8/2004,Code 46,7500000,1788324,197148
187,187,187,544,1876,968,9/20/2002,Eye See You,55000000,1807990,79161
188,188,188,545,4677,4391,9/19/2014,Tusk,3000000,1821983,1821983
189,189,189,546,4690,5083,10/9/2014,Born to Fly: Elizabeth Streb vs. Gravity,500000,1822,1822
190,190,190,547,4063,3225,12/31/2011,Tu Xia Chuan Qi,12000000,1828400,0
191,191,191,548,1813,4730,5/17/2002,The Believer,1500000,1840248,406035
192,192,192,549,4525,2778,12/31/2013,Zulu,16000000,1844228,0
193,193,193,550,2699,4873,6/28/2006,Who Killed the Electric Car?,1000000,1849392,1678874
194,194,194,551,4550,3768,2/4/2014,Dom Hemingway,7000000,1857458,523511
195,195,195,552,3945,4587,8/4/2011,Meek's Cutoff,2000000,1869928,977772
196,196,196,553,3916,3430,6/24/2011,A Better Life,10000000,1884251,1759252
197,197,197,554,4009,3757,10/21/2011,The Mighty Macs,7000000,1891936,1891936
198,198,198,555,3678,3010,6/25/2010,Les herbes folles,14000000,1903952,403952
199,199,199,556,2503,4206,9/16/2005,Thumbsucker,4000000,1919197,1328679
200,200,200,557,4496,3761,11/15/2013,The Christmas Candle,7000000,1933829,1632000
201,201,201,558,4570,4759,3/10/2014,La chambre bleue,1400000,1945420,260441
202,202,202,559,434,2921,1/17/1986,The Clan of the Cave Bear,15000000,1953732,1953732
203,203,203,560,1529,3437,11/8/2000,Cecil B. Demented,10000000,1953882,1276984
204,204,204,561,1328,2920,10/22/1999,Crazy in Alabama,15000000,1954202,1954202
205,205,205,562,4491,5004,11/10/2013,All the Boys Love Mandy Lane,750000,1960521,0
206,206,206,563,1356,2924,12/11/1999,Felicia's Journey,15000000,1970268,824295
207,207,207,564,2172,5059,1/30/2004,Osama,500000,1971479,1127331
208,208,208,565,4935,2711,6/26/2015,Escobar: Paradise Lost,17000000,1973945,195792
209,209,209,566,3989,4207,9/23/2011,Red State,4000000,1983596,1065429
210,210,210,567,2649,4579,4/10/2006,Shortbus,2000000,1985292,1985292
211,211,211,568,2228,5378,5/28/2004,On the Down Low,10000,1987,1987
212,212,212,569,3912,4205,6/17/2011,The Art of Getting By,4000000,1989035,1430241
213,213,213,570,104,4478,5/29/1963,Hud,2500000,10000000,10000000
214,214,214,571,102,2698,1/1/1963,55 Days at Peking,17000000,10000000,10000000
215,215,215,572,265,5144,1/1/1980,Maniac,350000,10000000,10000000
216,216,216,573,91,4359,1/1/1961,Judgment at Nuremberg,3000000,10000000,10000000
217,217,217,574,10,5017,7/4/1933,King Kong,672000,10000650,10000000
218,218,218,575,1516,752,10/27/2000,Lucky Numbers,65000000,10014234,10014234
219,219,219,576,1336,3388,11/6/1999,Le Violon rouge,10000000,10019109,10019109
220,220,220,577,1181,3069,12/6/1998,Dirty Work,13000000,10020081,10020081
221,221,221,578,5341,432,4/21/2017,The Promise,90000000,10020889,8224288
222,222,222,579,3722,4614,8/27/2010,Circle,2000000,10024,10024
223,223,223,580,4074,3189,1/6/2012,For Greater Glory,12000000,10026255,5669081
224,224,224,581,1480,4852,8/18/2000,Godzilla 2000,1000000,10037390,10037390
225,225,225,582,866,2129,4/19/1996,Mrs. Winterbourne,25000000,10039566,10039566
226,226,226,583,2112,4392,10/24/2003,Elephant,3000000,10051516,1266955
227,227,227,584,3674,3744,6/18/2010,Cyrus,7000000,10062896,7468936
228,228,228,585,3446,1876,8/26/2009,Taking Woodstock,29000000,10066366,7460204
229,229,229,586,2091,1412,9/26/2003,Duplex,40000000,10070651,9652000
230,230,230,587,1711,4185,11/14/2001,The Wash,4000000,10097096,10097096
231,231,231,588,4148,3858,4/27/2012,Bernie,6000000,10106975,9204489
232,232,232,589,3374,2298,5/6/2009,Away We Go,21000000,10108016,9451946
233,233,233,590,4437,4656,8/2/2013,ABCD (Any Body Can Dance),1900000,10137234,222098
234,234,234,591,352,3300,2/18/1983,Lovesick,10100000,10143618,10143618
235,235,235,592,1330,3810,10/22/1999,Bats,6500000,10155691,10155691
236,236,236,593,3144,1612,5/12/2008,Punisher: War Zone,35000000,10157534,8050977
237,237,237,594,1627,4151,6/13/2001,Sexy Beast,4300000,10158355,6946056
238,238,238,595,4980,4572,8/28/2015,We Are Your Friends,2000000,10166209,3591417
239,239,239,596,3433,4358,8/5/2009,Next Day Air,3000000,10172519,10027047
240,240,240,597,540,3532,8/11/1989,Henry V,9000000,10176701,10161099
241,241,241,598,1493,3635,9/22/2000,Woman on Top,8000000,10192613,5018450
242,242,242,599,2227,4023,5/28/2004,Saved!,5000000,10206551,8886160
243,243,243,600,4264,4153,11/7/2012,Snabba Cash,4300000,10212403,188870
244,244,244,601,844,1468,2/2/1996,White Squall,38000000,10229300,10229300
245,245,245,602,5199,3779,6/12/2016,Oddball,7000000,10237239,0
246,246,246,603,2760,5296,9/29/2006,Facing the Giants,100000,10243159,10178331
247,247,247,604,1093,4277,5/27/1998,I Got the Hook-Up!,3500000,10317779,10317779
248,248,248,605,1077,1606,4/9/1998,Knock Off,35000000,10319915,10319915
249,249,249,606,1072,1956,3/27/1998,The Newton Boys,27000000,10341093,10341093
250,250,250,607,811,1107,10/13/1995,The Scarlet Letter,50000000,10359006,10359006
251,251,251,608,1608,317,4/27/2001,Town & Country,105000000,10364769,6712451
252,252,252,609,4479,3579,10/18/2013,All is Lost,8500000,10386814,6263670
253,253,253,610,4595,1641,5/9/2014,Thunder and the House of Magic,34000000,10392666,4091
254,254,254,611,2490,2460,9/9/2005,The Man,20000000,10393696,8330720
255,255,255,612,1569,2995,2/2/2001,Head Over Heels,14000000,10397365,10397365
256,256,256,613,68,4119,1/1/1956,Moby Dick,4500000,10400000,10400000
257,257,257,614,87,4357,1/1/1960,Elmer Gantry,3000000,10400000,10400000
258,258,258,615,3242,2548,10/17/2008,Sex Drive,19000000,10412485,8402485
259,259,259,616,2299,1836,9/24/2004,First Daughter,30000000,10419084,9055010
260,260,260,617,802,5329,9/8/1995,The Brothers McMullen,50000,10426506,10426506
261,261,261,618,4133,3284,4/5/2012,LOL,11000000,10431506,0
262,262,262,619,4228,2163,9/11/2012,Dangerous Liaisons,24200000,10447579,17000
263,263,263,620,30,4839,1/23/1943,Casablanca,1039000,10462500,10462500
264,264,264,621,2392,2501,3/18/2005,Steamboy,20000000,10468867,468867
265,265,265,622,3429,4365,7/31/2009,The Collector,3000000,10473836,7712114
266,266,266,623,1284,5014,8/10/1999,Naturally Native,700000,10508,10508
267,267,267,624,1178,2887,11/25/1998,Home Fries,15000000,10513979,10513979
268,268,268,625,2443,5172,6/5/2005,Fighting Tommy Riley,300000,10514,10514
269,269,269,626,4670,4019,9/5/2014,Moms’ Night Out,5000000,10537341,10429707
270,270,270,627,551,2451,12/15/1989,We're No Angels,20000000,10555348,10555348
271,271,271,628,1549,3859,12/15/2000,Pollock,6000000,10557291,8596914
272,272,272,629,984,1106,7/11/1997,Mad City,50000000,10561038,10561038
273,273,273,630,1327,2450,10/22/1999,Three to Tango,20000000,10570375,10570375
274,274,274,631,1275,3386,7/23/1999,Drop Dead Gorgeous,10000000,10571408,10571408
275,275,275,632,2559,873,12/8/2005,The Great Raid,60000000,10597070,10166502
276,276,276,633,413,1955,6/21/1985,Return to Oz,27000000,10618813,10618813
277,277,277,634,1421,3865,4/21/2000,The Virgin Suicides,6000000,10619770,4859475
278,278,278,635,3497,3628,10/30/2009,The Boondock Saints 2: All Saints Day,8000000,10629320,10273187
279,279,279,636,4216,2703,8/24/2012,The Apparition,17000000,10637281,4936819
280,280,280,637,3022,3533,11/28/2007,The Savages,9000000,10642023,6623082
281,281,281,638,1217,2218,3/12/1999,The End of the Affair,23000000,10660147,10660147
282,282,282,639,1395,4574,3/3/2000,Ghost Dog: The Way of the Samurai,2000000,10672492,3330230
283,283,283,640,1293,1639,8/27/1999,The Astronaut's Wife,34000000,10672566,10672566
284,284,284,641,3526,4035,12/6/2009,Moon,5000000,10676073,5010163
285,285,285,642,3773,4616,11/6/2010,Jerusalema,2000000,10679,7294
286,286,286,643,1032,2449,12/12/1997,Deconstructing Harry,20000000,10686841,10686841
287,287,287,644,674,2267,5/11/1993,RoboCop 3,22000000,10696210,10696210
288,288,288,645,1290,1410,8/20/1999,Universal Soldier II: The Return,40000000,10717421,10447421
289,289,289,646,648,3103,9/30/1992,Glengarry Glen Ross,12500000,10725228,10725228
290,290,290,647,687,2124,8/10/1993,Gettysburg,25000000,10731997,10731997
291,291,291,648,3453,4018,9/1/2009,Not Easily Broken,5000000,10732909,10572742
292,292,292,649,5332,4020,3/17/2017,The Belko Experiment,5000000,10744134,10166820
293,293,293,650,338,4017,8/20/1982,The Beastmaster,5000000,10751126,10751126
294,294,294,651,3889,3629,4/29/2011,Prom,8000000,10763183,10130219
295,295,295,652,524,2886,1/3/1989,New York Stories,15000000,10763469,10763469
296,296,296,653,4082,3759,1/13/2012,We Need to Talk About Kevin,7000000,10765283,1738692
297,297,297,654,2648,4190,4/8/2006,The Night Listener,4000000,10770993,7836393
298,298,298,655,424,3737,11/10/1985,Silver Bullet,7000000,10803211,10803211
299,299,299,656,1506,4796,10/11/2000,You Can Count on Me,1200000,10827356,9180275
300,300,300,657,3695,3740,7/30/2010,Get Low,7000000,10828305,9176933
301,301,301,658,1744,3695,12/31/2001,The Hole,7500000,10834406,0
302,302,302,659,1401,2888,3/24/2000,Here on Earth,15000000,10845127,10494147
303,303,303,660,3357,3683,4/9/2009,Extract,7500000,10849158,10823158
304,304,304,661,1113,5171,7/8/1998,"First Love, Last Rites",300000,10876,10876
305,305,305,662,5189,4183,5/13/2016,The Darkness,4000000,10898293,10753574
306,306,306,663,2233,4182,6/2/2004,What the #$'! Do We Know,4000000,10941801,10941801
307,307,307,664,2854,2892,2/3/2007,Black Snake Moan,15000000,10951153,9396870
308,308,308,665,1364,803,12/22/1999,Any Given Sunday,60000000,100230832,75530832
309,309,309,666,3675,4495,6/18/2010,8: The Mormon Proposition,2500000,100280,100280
310,310,310,667,4457,3966,8/30/2013,No se Aceptan Devoluciones,5000000,100486616,44467206
311,311,311,668,1709,1273,11/5/2001,A Knight’s Tale,41000000,100622586,56083966
312,312,312,669,2721,3600,7/26/2006,Little Miss Sunshine,8000000,100642353,59891098
313,313,313,670,838,823,1/3/1996,Up Close & Personal,60000000,100645801,51045801
314,314,314,671,4954,1698,7/29/2015,Vacation,31000000,100655892,58884188
315,315,315,672,2499,887,9/16/2005,Just Like Heaven,58000000,100687083,48318130
316,316,316,673,930,1157,12/7/1996,Courage Under Fire,46000000,100833145,59003384
317,317,317,674,1321,740,10/15/1999,Fight Club,65000000,100851897,37030102
318,318,318,675,4589,3125,4/16/2014,Heaven is for Real,12000000,100919111,91386097
319,319,319,676,5334,891,3/24/2017,Life,58000000,100993260,30223972
320,320,320,677,5086,819,12/25/2015,Joy,60000000,101134059,56451232
321,321,321,678,3861,1357,3/18/2011,Paul,40000000,101162106,37412945
322,322,322,679,2442,3701,6/5/2005,Crash,7303082,101173038,55334418
323,323,323,680,1031,2165,12/12/1997,Scream 2,24000000,101363301,101363301
324,324,324,681,932,537,12/13/1996,Mars Attacks!,80000000,101371017,37771017
325,325,325,682,4693,1891,10/10/2014,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",28000000,101379287,66954149
326,326,326,683,2394,829,3/24/2005,Miss Congeniality 2: Armed and Fabulous,60000000,101382396,48478006
327,327,327,684,4957,4903,7/31/2015,Beyond the Brick: A LEGO Brickumentary,1000000,101531,101531
328,328,328,685,2096,2533,10/1/2003,Just Married,19000000,101564935,56127162
329,329,329,686,2712,755,7/14/2006,Little Man,64000000,101636047,58636047
330,330,330,687,3665,4157,5/28/2010,George A. Romero's Survival of the Dead,4200000,101740,101740
331,331,331,688,4168,4841,6/1/2012,The Devil Inside,1000000,101759490,53262945
332,332,332,689,1231,4409,4/8/1999,The Gambler,3000000,101773,51773
333,333,333,690,3124,1482,4/4/2008,Nim's Island,37000000,101857425,48006762
334,334,334,691,4900,2092,5/8/2015,Shaun the Sheep,25000000,101937062,19375982
335,335,335,692,2477,2418,8/4/2005,Kung Fu Hustle,20000000,102034104,17104669
336,336,336,693,736,1902,9/16/1994,Timecop,28000000,102053581,44853581
337,337,337,694,2395,1527,3/25/2005,Guess Who,35000000,102115888,68915888
338,338,338,695,1765,1491,2/15/2002,John Q,36000000,102226631,71026631
339,339,339,696,3330,2195,2/10/2009,Zombieland,23600000,102236596,75590286
340,340,340,697,113,3832,8/26/1964,Mary Poppins,6000000,102300000,102300000
